Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR7534687_1	SRR7534687_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	288365.0	0.0	5-301	52.0	85.62354904036765	181.08397690427063	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534687_2	SRR7534687_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	288365.0	0.0	5-301	52.0	86.53770649205926	150.82855408943527	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534688_1	SRR7534688_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	272314.0	0.0	5-301	50.0	64.83273995516855	153.75821661758118	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR7534688_2	SRR7534688_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	272314.0	0.0	5-301	49.0	65.43702471914547	134.86524379943742	pass	warn	pass	fail	warn	pass	warn	warn	pass	pass
SRR7534689_1	SRR7534689_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	401394.0	0.0	5-301	52.0	86.41629100368287	137.0896425955545	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534689_2	SRR7534689_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	401394.0	0.0	5-301	51.0	87.04282832739725	122.66108611488961	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534690_1	SRR7534690_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	257969.0	0.0	5-301	52.0	86.2663811617539	190.3876512294113	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534690_2	SRR7534690_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	257969.0	0.0	5-301	52.0	86.71668063080386	160.74354670522428	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534691_1	SRR7534691_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	984840.0	0.0	5-151	53.0	70.80703230840501	115.6019830632387	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR7534691_2	SRR7534691_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	984840.0	0.0	5-151	53.0	73.11025154955848	110.84354920596239	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534692_1	SRR7534692_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	847171.0	0.0	5-151	52.0	73.2754272958298	112.30011650540446	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534692_2	SRR7534692_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	847171.0	0.0	5-151	52.0	74.87498492208655	109.71029461584497	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534693_1	SRR7534693_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	837046.0	0.0	5-151	53.0	78.29890906009432	101.45514105556923	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR7534693_2	SRR7534693_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	837046.0	0.0	5-151	53.0	79.74302492219039	98.84736322734952	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR7534694_1	SRR7534694_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	988423.0	0.0	5-151	51.0	74.15164859452128	106.4645784244195	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534694_2	SRR7534694_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	988423.0	0.0	5-151	51.0	75.68931801763918	104.06221830127384	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534695_1	SRR7534695_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	206761.0	0.0	5-151	51.0	89.73910918488795	116.61673139518575	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534695_2	SRR7534695_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	206761.0	0.0	5-151	51.0	90.4715064878576	113.46710453131877	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534696_1	SRR7534696_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1081991.0	0.0	5-151	52.0	73.36803499465849	109.67752227144219	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR7534696_2	SRR7534696_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1081991.0	0.0	5-151	52.0	75.70571859464513	105.45977369497528	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534697_1	SRR7534697_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	975743.0	0.0	5-151	51.0	74.94093858075831	106.57092185134815	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534697_2	SRR7534697_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	975743.0	0.0	5-151	51.0	76.69767966254176	103.10396180141697	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534698_1	SRR7534698_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1417728.0	0.0	5-151	52.0	69.23899603792837	105.05112546271216	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
SRR7534698_2	SRR7534698_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1417728.0	0.0	5-151	52.0	71.06024771985581	102.64853554419466	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR7534699_1	SRR7534699_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1122878.0	0.0	5-151	51.0	73.92439978227506	103.05003304009874	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534699_2	SRR7534699_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1122878.0	0.0	5-151	51.0	75.70486037453877	99.73686900981228	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534700_1	SRR7534700_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1192420.0	0.0	5-151	51.0	61.70685120608148	113.7497408631187	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
SRR7534700_2	SRR7534700_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1192420.0	0.0	5-151	51.0	63.610848249234955	110.88749266198151	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
SRR7534701_1	SRR7534701_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	607222.0	0.0	5-301	52.0	78.77886174039106	160.14462255978867	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534701_2	SRR7534701_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	607222.0	0.0	5-301	52.0	79.6106908778444	138.06874256861576	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534702_1	SRR7534702_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	527960.0	0.0	5-301	52.0	83.85855541039875	141.25316122433517	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534702_2	SRR7534702_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	527960.0	0.0	5-301	52.0	84.62648745275399	124.4714353360103	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534703_1	SRR7534703_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	235793.0	0.0	5-301	47.0	92.07574975654992	149.4262128222636	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
SRR7534703_2	SRR7534703_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	235793.0	0.0	5-301	47.0	92.45410442752544	133.65950643148864	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
SRR7534704_1	SRR7534704_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	137535.0	0.0	5-301	52.0	92.07053885673605	153.00528592721852	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534704_2	SRR7534704_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	137535.0	0.0	5-301	52.0	92.5550080540975	133.16214054604282	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534705_1	SRR7534705_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	332662.0	0.0	5-301	52.0	87.02479356343996	143.256536664843	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534705_2	SRR7534705_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	332662.0	0.0	5-301	52.0	87.17111886490156	129.51001617257157	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
