Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR7534692_2	SRR7534692_2.fastq	Conventional base calls	Sanger / Illumina 1.9	860766.0	0.0	35-151	52.0	73.67353997937256	112.64740823870831	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
SRR7534693_1	SRR7534693_1.fastq	Conventional base calls	Sanger / Illumina 1.9	860668.0	0.0	35-151	53.0	76.18548161321347	100.60285963925695	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
SRR7534693_2	SRR7534693_2.fastq	Conventional base calls	Sanger / Illumina 1.9	860668.0	0.0	35-151	53.0	77.50683088301446	100.9029230783531	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
SRR7534694_1	SRR7534694_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1008867.0	0.0	35-151	51.0	72.66359293282827	105.94801693384757	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
SRR7534694_2	SRR7534694_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1008867.0	0.0	35-151	52.0	74.12704267821697	106.07551342248284	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
SRR7534695_1	SRR7534695_1.fastq	Conventional base calls	Sanger / Illumina 1.9	209505.0	0.0	35-151	51.0	88.7225602848139	117.00805231378726	pass	pass	pass	fail	warn	pass	warn	pass	fail	pass
SRR7534695_2	SRR7534695_2.fastq	Conventional base calls	Sanger / Illumina 1.9	209505.0	0.0	35-151	51.0	89.42835932378065	117.04597980955108	pass	pass	pass	fail	warn	pass	warn	pass	fail	pass
SRR7534696_1	SRR7534696_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1100983.0	0.0	35-151	52.0	72.14658317314282	109.75133585168889	pass	pass	pass	fail	warn	pass	warn	pass	fail	pass
SRR7534696_2	SRR7534696_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1100983.0	0.0	35-151	52.0	74.30456029254646	110.15506688114166	pass	pass	pass	fail	warn	pass	warn	pass	fail	pass
SRR7534697_1	SRR7534697_1.fastq	Conventional base calls	Sanger / Illumina 1.9	992833.0	0.0	35-151	51.0	73.67055649604622	106.5188687322037	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
SRR7534697_2	SRR7534697_2.fastq	Conventional base calls	Sanger / Illumina 1.9	992833.0	0.0	35-151	51.0	75.3080607856249	106.98001476582668	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
SRR7534698_1	SRR7534698_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1443017.0	0.0	35-151	52.0	68.01635088899889	104.68384225549664	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass
SRR7534698_2	SRR7534698_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1443017.0	0.0	35-151	52.0	69.66221320410591	104.93158569857458	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass
SRR7534699_1	SRR7534699_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1146208.0	0.0	35-151	51.0	72.49204158525934	102.61026270973505	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
SRR7534699_2	SRR7534699_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1146208.0	0.0	35-151	51.0	74.10264381219696	103.40807951087412	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
SRR7534700_1	SRR7534700_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1210675.0	0.0	35-151	51.0	60.73047694992568	113.79747991822744	pass	pass	pass	fail	warn	pass	warn	warn	fail	pass
SRR7534700_2	SRR7534700_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1210675.0	0.0	35-151	52.0	62.50780695339246	113.87159394552626	pass	pass	pass	fail	warn	pass	warn	warn	fail	pass
SRR7534701_1	SRR7534701_1.fastq	Conventional base calls	Sanger / Illumina 1.9	614661.0	0.0	35-301	52.0	77.88305855742323	162.82808897912832	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
SRR7534701_2	SRR7534701_2.fastq	Conventional base calls	Sanger / Illumina 1.9	614661.0	0.0	35-301	52.0	78.69197425556219	166.816781933456	pass	fail	pass	fail	fail	pass	warn	pass	warn	pass
SRR7534702_1	SRR7534702_1.fastq	Conventional base calls	Sanger / Illumina 1.9	538149.0	0.0	35-301	52.0	82.37276293386705	142.75752440309282	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
SRR7534702_2	SRR7534702_2.fastq	Conventional base calls	Sanger / Illumina 1.9	538149.0	0.0	35-301	52.0	83.0976504568028	146.68536966527859	pass	fail	pass	fail	fail	pass	warn	pass	fail	pass
